Component_,Name,Value
C__93A6ECBD0FD647118689B8B72F891504.6492B5CA1425435EB4E109C1192F04D7,Version,3.4.0.2027
C__93A6ECBD0FD647118689B8B72F891504.6492B5CA1425435EB4E109C1192F04D7,Culture,neutral
C__93A6ECBD0FD647118689B8B72F891504.6492B5CA1425435EB4E109C1192F04D7,PublicKeyToken,CC4967777C49A3FF
C__A6047C11C21A431FAE28CAA466E1C4DB.6492B5CA1425435EB4E109C1192F04D7,Name,ActiveReports.Design
C__A6047C11C21A431FAE28CAA466E1C4DB.6492B5CA1425435EB4E109C1192F04D7,Version,3.4.0.2027
C__A6047C11C21A431FAE28CAA466E1C4DB.6492B5CA1425435EB4E109C1192F04D7,Culture,neutral
C__A6047C11C21A431FAE28CAA466E1C4DB.6492B5CA1425435EB4E109C1192F04D7,PublicKeyToken,CC4967777C49A3FF
C__AF53696CCA904EBFA29D5DC1C087A1E9.6492B5CA1425435EB4E109C1192F04D7,Name,ActiveReports.TiffExport
C__AF53696CCA904EBFA29D5DC1C087A1E9.6492B5CA1425435EB4E109C1192F04D7,Version,3.4.0.2027
C__AF53696CCA904EBFA29D5DC1C087A1E9.6492B5CA1425435EB4E109C1192F04D7,Culture,neutral
C__AF53696CCA904EBFA29D5DC1C087A1E9.6492B5CA1425435EB4E109C1192F04D7,PublicKeyToken,CC4967777C49A3FF
C__B36AC5A3AE404A989595E41479E2FCD6.6492B5CA1425435EB4E109C1192F04D7,Name,ActiveReports.PdfExport
C__B36AC5A3AE404A989595E41479E2FCD6.6492B5CA1425435EB4E109C1192F04D7,Version,3.4.0.2027
C__B36AC5A3AE404A989595E41479E2FCD6.6492B5CA1425435EB4E109C1192F04D7,Culture,neutral
C__B36AC5A3AE404A989595E41479E2FCD6.6492B5CA1425435EB4E109C1192F04D7,PublicKeyToken,CC4967777C49A3FF
C__B7FA60E80B904AFBB2F6F1FB48433933.6492B5CA1425435EB4E109C1192F04D7,Name,ActiveReports.HtmlExport
C__B7FA60E80B904AFBB2F6F1FB48433933.6492B5CA1425435EB4E109C1192F04D7,Version,3.4.0.2027
C__B7FA60E80B904AFBB2F6F1FB48433933.6492B5CA1425435EB4E109C1192F04D7,Culture,neutral
C__B7FA60E80B904AFBB2F6F1FB48433933.6492B5CA1425435EB4E109C1192F04D7,PublicKeyToken,CC4967777C49A3FF
C__C73D447270B84A4CB7A34547F586DCBA.6492B5CA1425435EB4E109C1192F04D7,Name,ActiveReports.Viewer
C__C73D447270B84A4CB7A34547F586DCBA.6492B5CA1425435EB4E109C1192F04D7,Version,3.4.0.2027
C__C73D447270B84A4CB7A34547F586DCBA.6492B5CA1425435EB4E109C1192F04D7,Culture,neutral
C__C73D447270B84A4CB7A34547F586DCBA.6492B5CA1425435EB4E109C1192F04D7,PublicKeyToken,CC4967777C49A3FF
C__C9C0F929F93A494FB3E68DC54EB17AED.6492B5CA1425435EB4E109C1192F04D7,Name,ActiveReports
C__C9C0F929F93A494FB3E68DC54EB17AED.6492B5CA1425435EB4E109C1192F04D7,Version,3.4.0.2027
C__C9C0F929F93A494FB3E68DC54EB17AED.6492B5CA1425435EB4E109C1192F04D7,Culture,neutral
