File,Component_,FileName,FileSize,Version,Language,Attributes,Sequence
Citect.Ampla.Workflow.ConsoleHost.pdb,Citect.Ampla.Workflow.ConsoleHost.pdb,0r5kxcbz.pdb|Citect.Ampla.Workflow.ConsoleHost.pdb,11776,,,512,258
Citect.Ampla.Workflow.ServiceHost.exe,Citect.Ampla.Workflow.ServiceHost.exe,dbkbfceq.exe|Citect.Ampla.Workflow.ServiceHost.exe,64000,1.0.0.0,0,1536,263
Citect.Ampla.Workflow.ServiceHost.pdb,Citect.Ampla.Workflow.ServiceHost.pdb,8zzlimbd.pdb|Citect.Ampla.Workflow.ServiceHost.pdb,22016,,,512,265
ControlEditor.exe,ControlEditor.exe,dwwbtoxl.exe|ControlEditor.exe,155648,5.2.6135.0,0,1536,284
ControlEditor.pdb,ControlEditor.pdb,qwhlndil.pdb|ControlEditor.pdb,65024,,,512,285
ProductionAnalyst.exe,ProductionAnalyst.exe,plsatznj.exe|ProductionAnalyst.exe,49664,5.2.6135.0,0,1536,812
ProductionAnalyst.pdb,ProductionAnalyst.pdb,p8clcz9w.pdb|ProductionAnalyst.pdb,36352,,,512,814
Citect.Ampla.General.Client.Common.dll,Citect.Ampla.General.Client.Common.dll,0pafcpj4.dll|Citect.Ampla.General.Client.Common.dll,28672,5.2.6135.0,0,1536,112
Citect.Ampla.General.Client.Common.pdb,Citect.Ampla.General.Client.Common.pdb,cptofkq3.pdb|Citect.Ampla.General.Client.Common.pdb,79360,,,1536,113
ProductionAnalyst.Common.dll,ProductionAnalyst.Common.dll,wnxgqrpe.dll|ProductionAnalyst.Common.dll,61952,5.2.6135.0,0,1536,810
ProductionAnalyst.Common.pdb,ProductionAnalyst.Common.pdb,imuzskpj.pdb|ProductionAnalyst.Common.pdb,60928,,,1536,811
Citect.Ampla.ActiveReports.Server.dll,Citect.Ampla.ActiveReports.Server.dll,riiqmt_z.dll|Citect.Ampla.ActiveReports.Server.dll,11264,5.2.6135.0,0,1536,67
Citect.Ampla.ActiveReports.Server.pdb,Citect.Ampla.ActiveReports.Server.pdb,h9my1zlu.pdb|Citect.Ampla.ActiveReports.Server.pdb,11776,,,512,68
Citect.Ampla.Connectors.FileConnector.dll,Citect.Ampla.Connectors.FileConnector.dll,poqlf-qf.dll|Citect.Ampla.Connectors.FileConnector.dll,36864,5.2.6135.0,0,1536,72
Citect.Ampla.Connectors.FileConnector.pdb,Citect.Ampla.Connectors.FileConnector.pdb,mdwwu3di.pdb|Citect.Ampla.Connectors.FileConnector.pdb,38400,,,512,73
Citect.Ampla.Connectors.SerialConnectors.dll,Citect.Ampla.Connectors.SerialConnectors.dll,f6eyhrbx.dll|Citect.Ampla.Connectors.SerialConnectors.dll,57344,5.2.6135.0,0,1536,87
Citect.Ampla.Connectors.SerialConnectors.pdb,Citect.Ampla.Connectors.SerialConnectors.pdb,wa5p2keq.pdb|Citect.Ampla.Connectors.SerialConnectors.pdb,46592,,,512,88
Citect.Ampla.Controls.dll,Citect.Ampla.Controls.dll,hux1m6a9.dll|Citect.Ampla.Controls.dll,241664,5.2.6135.0,0,1536,90
Citect.Ampla.Controls.pdb,Citect.Ampla.Controls.pdb,zlzkrccr.pdb|Citect.Ampla.Controls.pdb,458240,,,512,91
Citect.Ampla.Cost.Server.dll,Citect.Ampla.Cost.Server.dll,izf29yhd.dll|Citect.Ampla.Cost.Server.dll,86016,5.2.6135.0,0,1536,92
Citect.Ampla.Cost.Server.pdb,Citect.Ampla.Cost.Server.pdb,iziectr3.pdb|Citect.Ampla.Cost.Server.pdb,103936,,,512,93
Citect.Ampla.Downtime.Server.ActiveReports.dll,Citect.Ampla.Downtime.Server.ActiveReports.dll,mox3xnlt.dll|Citect.Ampla.Downtime.Server.ActiveReports.dll,86016,5.2.6135.0,0,1536,100
Citect.Ampla.Downtime.Server.ActiveReports.pdb,Citect.Ampla.Downtime.Server.ActiveReports.pdb,5pjz22oh.pdb|Citect.Ampla.Downtime.Server.ActiveReports.pdb,58880,,,512,101
Citect.Ampla.Downtime.Server.dll,Citect.Ampla.Downtime.Server.dll,vxdg41jq.dll|Citect.Ampla.Downtime.Server.dll,385024,5.2.6135.0,0,1536,102
Citect.Ampla.Downtime.Server.pdb,Citect.Ampla.Downtime.Server.pdb,wshsbi6v.pdb|Citect.Ampla.Downtime.Server.pdb,417280,,,512,103
Citect.Ampla.Energy.Server.dll,Citect.Ampla.Energy.Server.dll,3gdjotei.dll|Citect.Ampla.Energy.Server.dll,178176,5.2.6135.0,0,1536,104
Citect.Ampla.Energy.Server.pdb,Citect.Ampla.Energy.Server.pdb,quh4euor.pdb|Citect.Ampla.Energy.Server.pdb,189952,,,512,105
Citect.Ampla.Framework.Extras.dll,Citect.Ampla.Framework.Extras.dll,sq1rxuox.dll|Citect.Ampla.Framework.Extras.dll,90112,5.2.6135.0,0,1536,107
Citect.Ampla.Framework.Extras.pdb,Citect.Ampla.Framework.Extras.pdb,mlggnynk.pdb|Citect.Ampla.Framework.Extras.pdb,157184,,,512,108
Citect.Ampla.General.Client.dll,Citect.Ampla.General.Client.dll,4uodq_cd.dll|Citect.Ampla.General.Client.dll,2076672,5.2.6135.0,0,1536,114
Citect.Ampla.General.Client.pdb,Citect.Ampla.General.Client.pdb,bzqkkjky.pdb|Citect.Ampla.General.Client.pdb,1523200,,,512,115
